name,brand,url,cluster,aura_confidence,aura_sensuality,aura_formality,aura_intensity,aura_uniqueness,aura_approachability,aura_maturity,aura_extroversion,performance,longevity,sillage,uniqueness_idf,dominant_accord_1,dominant_accord_2,dominant_accord_3
Adeeb Lattafa Perfumes for women and men,women,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Adeeb-74053.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.853445911830635,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6365000000000001,0.662,0.611,0.27735978919224474,warm spicy,woody,aromatic
Afeef Lattafa Perfumes for women and men,women,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Afeef-100126.html,Sweet-Gourmand,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.8328278925436773,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6275,0.649,0.606,0.3201941151397909,white floral,sweet,woody
Afkaar Lattafa Perfumes for women and men,women,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Afkaar-107723.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6860472522904691,0.80251008160767,0.8193561693776197,0.8306854101446361,0.7005,0.719,0.682,0.2444270148578849,woody,warm spicy,citrus
Al Awsaaf Lattafa Perfumes for women and men,women,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Awsaaf-89895.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.809030486063179,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6579999999999999,0.704,0.612,0.2568973816285321,warm spicy,amber,aromatic
Al Azal Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Azal-99766.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.866654141355716,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5905,0.607,0.5740000000000001,0.26293186747050795,woody,leather,warm spicy
Confidential Platinum Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Confidential-Platinum-78549.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5018593749284501,0.80251008160767,0.8193561693776197,0.8306854101446361,0.49,0.491,0.48900000000000005,0.22004878301504036,citrus,fresh spicy,aromatic
Lail Maleki Moroccan Blue Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Lail-Maleki-Moroccan-Blue-107705.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.7006970399325029,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5930000000000001,0.5980000000000001,0.5880000000000001,0.24526353027591155,citrus,warm spicy,woody
Oud Mood Silver Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Oud-Mood-Silver-72718.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.8857294274686994,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6965000000000001,0.7280000000000001,0.665,0.30298400112831225,rose,woody,musky
Oudain Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Oudain-78381.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5538261089195657,0.80251008160767,0.8193561693776197,0.8306854101446361,0.752,0.773,0.731,0.22162072570953217,woody,warm spicy,vanilla
Qaa'ed Al Shabaab Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qaa-ed-Al-Shabaab-70246.html,Dark-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.9241194153381729,0.2930285616470644,0.8193561693776197,0.8306854101446361,0.748,0.786,0.7100000000000001,0.3672620234872905,leather,oud,animalic
Qaa'ed Intense Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qaa-ed-Intense-90438.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.8986686478092977,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6559999999999999,0.705,0.607,0.34893567936939995,amber,warm spicy,sweet
Qimmah for Men Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qimmah-for-Men-82792.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.7277231273264634,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5175000000000001,0.532,0.503,0.2601803424588536,aromatic,woody,lavender
Rave Pure Desire Intense Man Lattafa Perfumes for men,Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Rave-Pure-Desire-Intense-Man-113830.html,Sweet-Gourmand,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.4956074642912809,0.80251008160767,0.8193561693776197,0.8306854101446361,0.7,0.7200000000000001,0.6799999999999999,0.2463169594739,fruity,citrus,fresh spicy
